OrdFY25	POAexemptCode	Description
21556	M80.069D	"Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with routine healing"
21557	M80.069G	"Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with delayed healing"
21558	M80.069K	"Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with nonunion"
21559	M80.069P	"Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with malunion"
21560	M80.069S	"Age-related osteoporosis with current pathological fracture, unspecified lower leg, sequela"
21564	M80.071D	"Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with routine healing"
21565	M80.071G	"Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with delayed healing"
21566	M80.071K	"Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with nonunion"
21567	M80.071P	"Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with malunion"
21568	M80.071S	"Age-related osteoporosis with current pathological fracture, right ankle and foot, sequela"
21571	M80.072D	"Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with routine healing"
21572	M80.072G	"Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with delayed healing"
21573	M80.072K	"Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with nonunion"
21574	M80.072P	"Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with malunion"
21575	M80.072S	"Age-related osteoporosis with current pathological fracture, left ankle and foot, sequela"
21578	M80.079D	"Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with routine healing"
21579	M80.079G	"Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with delayed healing"
21580	M80.079K	"Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with nonunion"
21581	M80.079P	"Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with malunion"
21582	M80.079S	"Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, sequela"
21585	M80.08XD	"Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing"
21586	M80.08XG	"Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with delayed healing"
21587	M80.08XK	"Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with nonunion"
21588	M80.08XP	"Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with malunion"
21589	M80.08XS	"Age-related osteoporosis with current pathological fracture, vertebra(e), sequela"
21592	M80.0AXD	"Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with routine healing"
21593	M80.0AXG	"Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with delayed healing"
21594	M80.0AXK	"Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with nonunion"
21595	M80.0AXP	"Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with malunion"
21596	M80.0AXS	"Age-related osteoporosis with current pathological fracture, other site, sequela"
21600	M80.0B1D	"Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with routine healing"
21601	M80.0B1G	"Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with delayed healing"
21602	M80.0B1K	"Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with nonunion"
21603	M80.0B1P	"Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with malunion"
21604	M80.0B1S	"Age-related osteoporosis with current pathological fracture, right pelvis, sequela"
21607	M80.0B2D	"Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with routine healing"
21608	M80.0B2G	"Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with delayed healing"
21609	M80.0B2K	"Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with nonunion"
21610	M80.0B2P	"Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with malunion"
21611	M80.0B2S	"Age-related osteoporosis with current pathological fracture, left pelvis, sequela"
21614	M80.0B9D	"Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with routine healing"
21615	M80.0B9G	"Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with delayed healing"
21616	M80.0B9K	"Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with nonunion"
21617	M80.0B9P	"Age-related osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with malunion"
21618	M80.0B9S	"Age-related osteoporosis with current pathological fracture, unspecified pelvis, sequela"
21622	M80.80XD	"Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with routine healing"
21623	M80.80XG	"Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with delayed healing"
21624	M80.80XK	"Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with nonunion"
21625	M80.80XP	"Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with malunion"
21626	M80.80XS	"Other osteoporosis with current pathological fracture, unspecified site, sequela"
21630	M80.811D	"Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with routine healing"
21631	M80.811G	"Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing"
21632	M80.811K	"Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion"
21633	M80.811P	"Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with malunion"
21634	M80.811S	"Other osteoporosis with current pathological fracture, right shoulder, sequela"
21637	M80.812D	"Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with routine healing"
21638	M80.812G	"Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing"
21639	M80.812K	"Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with nonunion"
21640	M80.812P	"Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with malunion"
21641	M80.812S	"Other osteoporosis with current pathological fracture, left shoulder, sequela"
21644	M80.819D	"Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with routine healing"
21645	M80.819G	"Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with delayed healing"
21646	M80.819K	"Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with nonunion"
21647	M80.819P	"Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with malunion"
21648	M80.819S	"Other osteoporosis with current pathological fracture, unspecified shoulder, sequela"
